id,longitude,latitude,date,time
506,153.02628,-27.386877,12/14/2021,7:15
507,153.03522,-27.356163,12/14/2021,13:10
508,153.00746,-27.437973,12/14/2021,19:15
509,152.99306,-27.394196,12/14/2021,8:15
510,152.98254,-27.57613,12/14/2021,18:15
511,152.98282,-27.57608,12/14/2021,20:00
512,153.03459,-27.499573,12/14/2021,7:00
513,153.03546,-27.487265,12/14/2021,16:50
514,153.03586,-27.490223,12/14/2021,7:20
515,153.03532,-27.48688,12/14/2021,16:45
516,153.06473,-27.57303,12/14/2021,21:30
517,153.06812,-27.559622,12/14/2021,22:45
518,153.06413,-27.573238,12/14/2021,22:55
519,153.0353,-27.592146,12/14/2021,5:00
520,153.04414,-27.498156,12/14/2021,12:20
521,153.05597,-27.515146,12/14/2021,16:00
522,153.08223,-27.562614,12/14/2021,15:30
523,153.0827,-27.562737,12/14/2021,15:30
524,153.09488,-27.533422,12/14/2021,16:40
525,153.0792,-27.54196,12/14/2021,17:50
526,153.13844,-27.67085,12/14/2021,0:00
527,153.10242,-27.502928,12/14/2021,17:20
528,153.10197,-27.503092,12/14/2021,17:20
529,153.10162,-27.49536,12/14/2021,18:30
530,153.23677,-27.509737,12/14/2021,17:45
531,153.07997,-27.466047,12/14/2021,17:25
532,153.07848,-27.465942,12/14/2021,18:35
533,153.36504,-28.08043,12/14/2021,13:35
534,153.39742,-28.067734,12/14/2021,7:48
535,153.37799,-28.071367,12/14/2021,18:25
536,153.37799,-28.071367,12/14/2021,19:45
537,153.38557,-28.078892,12/14/2021,6:30
538,152.87158,-27.645788,12/14/2021,10:40
539,152.75722,-27.61574,12/14/2021,11:40
540,150.32362,-28.54671,12/14/2021,9:00
541,150.31161,-28.547543,12/14/2021,11:30
542,150.30554,-28.54702,12/14/2021,11:08
543,149.79391,-25.641897,12/14/2021,19:00
544,149.79617,-25.64323,12/14/2021,6:00
545,152.98947,-27.30727,12/14/2021,19:00
546,152.9806,-27.281668,12/14/2021,7:50
547,152.9806,-27.281668,12/14/2021,7:50
548,152.95657,-27.282455,12/14/2021,8:15
549,152.98218,-27.281164,12/14/2021,21:15
550,153.00966,-27.239351,12/14/2021,7:00
551,153.065,-26.401112,12/14/2021,12:00
552,153.0652,-26.400827,12/14/2021,12:40
553,153.09138,-26.398281,12/14/2021,10:00
554,153.08914,-26.386784,12/14/2021,11:00
555,153.092,-26.38669,12/14/2021,18:37
556,153.08748,-26.386362,12/14/2021,17:29
557,153.09166,-26.387442,12/14/2021,20:30
558,153.09062,-26.38642,12/14/2021,16:30
559,149.18065,-21.17177,12/14/2021,21:35
560,146.81557,-19.260666,12/14/2021,20:25
561,146.8208,-19.260376,12/14/2021,19:11
562,146.7668,-19.24705,12/14/2021,17:30
563,153.02504,-27.479795,12/13/2021,13:40
564,153.02988,-27.466347,12/13/2021,19:00
565,153.02988,-27.466347,12/13/2021,19:00
566,153.02748,-27.47234,12/13/2021,18:45
567,153.02748,-27.47234,12/13/2021,18:45
568,153.04012,-27.456316,12/13/2021,21:00
569,153.04012,-27.456316,12/13/2021,21:00
570,153.10724,-27.39723,12/13/2021,18:05
571,153.10724,-27.39723,12/13/2021,18:05
572,153.12183,-27.394215,12/13/2021,14:05
573,153.12183,-27.394215,12/13/2021,12:15
574,153.11894,-27.386093,12/13/2021,21:15
575,153.12032,-27.385176,12/13/2021,12:25
576,153.11923,-27.388033,12/13/2021,12:42
577,153.11923,-27.388033,12/13/2021,12:45
578,153.07373,-27.437868,12/13/2021,8:00
579,153.03229,-27.382994,12/13/2021,9:00
580,152.98009,-27.409798,12/13/2021,9:00
